"","name.x","identifier","unique_name","key_bigbash","key_cricbuzz","key_crichq","key_cricinfo","key_cricinfo_2","key_cricingif","key_cricketarchive","key_cricketarchive_2","key_opta","key_opta_2","key_pulse","key_pulse_2","name.y","country","Full Name","Born","Age","Batting Style","Bowling Style","Playing Role","Fielding Position"
"1","BE Patterson","7dfbcfff","BE Patterson",8112,NA,NA,381308,NA,NA,955561,NA,NA,NA,NA,NA,"Bridget Patterson","Australia","Bridget E Patterson","April 12, 1994","27y 223d","Right hand bat","Right arm fast","Batter",NA
"2","TT Beaumont","b2664905","TT Beaumont",5413,NA,NA,297074,NA,NA,187982,NA,NA,NA,545,NA,"Tammy Beaumont","England","Tamsin Tilley Beaumont","March 11, 1991, Dover, Kent","30y 255d","Right hand bat",NA,"Opening batter","Wicketkeeper"
"3","CM Edwards","d4188b60","CM Edwards",NA,NA,NA,53696,NA,NA,NA,NA,NA,NA,544,NA,"Charlotte Edwards","England","Charlotte Marie Edwards","December 17, 1979, Huntingdon","41y 339d","Right hand bat","Legbreak","Top order batter",NA
"4","TM McGrath","ca5acfa4","TM McGrath",8111,NA,NA,381311,NA,NA,955115,NA,NA,NA,4138,NA,"Tahlia McGrath","Australia","Tahlia May McGrath","November 10, 1995","26y 11d","Right hand bat","Right arm medium","Allrounder",NA
"5","SJ Coyte","a5f488bc","SJ Coyte",5843,NA,NA,374934,NA,NA,372495,NA,NA,NA,463,NA,"Sarah Coyte","Australia","Sarah Jane Coyte","March 30, 1991, Camden, New South Wales","30y 236d","Right hand bat","Right arm medium","Bowler",NA
"6","SJ Coyte","36769c31","SJ Coyte (2)",NA,NA,NA,4886,NA,NA,NA,NA,NA,NA,NA,NA,"Scott Coyte","Australia","Scott James Coyte","March 07, 1985, Liverpool, Sydney, New South Wales","36y 259d","Left hand bat","Right arm fast medium","Bowler",NA
"7","SFM Devine","de69af96","SFM Devine",5858,NA,NA,231740,NA,NA,73099,NA,NA,NA,478,NA,"Sophie Devine","New Zealand","Sophie Frances Monique Devine","September 01, 1989, Wellington","32y 81d","Right hand bat","Right arm medium","Batting allrounder",NA
"8","S Nitschke","3032933c","S Nitschke",NA,NA,NA,53613,NA,NA,NA,NA,NA,NA,NA,NA,"Shelley Nitschke","Australia","Shelley Nitschke","December 03, 1976, Adelaide, South Australia","44y 353d","Left hand bat","Slow left arm orthodox",NA,NA
"9","TJ McPharlin","595e1ee7","TJ McPharlin",8114,NA,NA,275508,NA,NA,237863,NA,NA,NA,NA,NA,"Tegan McPharlin","Australia","Tegan Jayne McPharlin","August 07, 1988, Balaklava, South Australia","33y 106d","Right hand bat","Right arm medium","Wicketkeeper","Wicketkeeper"
"10","A Price","99e26cea","A Price",8110,NA,NA,381309,NA,NA,955120,NA,NA,NA,NA,NA,"Alex Price","Australia","Alexandra Elizabeth Price","November 05, 1995","26y 16d","Right hand bat","Right arm medium","Bowler",NA
"11","ML Schutt","17608a6f","ML Schutt",5981,NA,NA,420314,NA,NA,913864,NA,NA,NA,997,NA,"Megan Schutt","Australia","Megan Schutt","January 15, 1993, Adelaide, South Australia","28y 310d","Right hand bat","Right arm fast medium","Bowler",NA
"12","A Wellington","9b3bcca4","A Wellington",7738,NA,NA,381305,NA,NA,955122,NA,NA,NA,NA,NA,"Amanda-Jade Wellington","Australia","Amanda-Jade Wellington","May 29, 1997, Adelaide, South Australia","24y 176d","Right hand bat","Legbreak","Bowler",NA
"13","RH Priest","e6f0408a","RH Priest",5992,NA,NA,231305,NA,NA,73092,NA,NA,NA,1004,NA,"Rachel Priest","New Zealand","Rachel Holly Priest","June 13, 1985, New Plymouth, Taranaki","36y 161d","Right hand bat",NA,"Wicketkeeper batter","Wicketkeeper"
"14","KL Britt","b9e15440","KL Britt",NA,NA,NA,53675,NA,NA,NA,NA,NA,NA,NA,NA,"Kris Britt","Australia","Kris Lynsey Britt","April 13, 1983, Canberra, Australian Capital Territory","38y 222d","Right hand bat","Legbreak","Allrounder",NA
"15","GM Harris","72166006","GM Harris",7735,NA,NA,381268,NA,NA,955555,NA,NA,NA,NA,NA,"Grace Harris","Australia","Grace Margaret Harris","September 18, 1993","28y 64d","Right hand bat","Right arm offbreak","Allrounder",NA
"16","DN Wyatt","a139c379","DN Wyatt",NA,NA,NA,254168,NA,NA,113029,NA,NA,NA,557,NA,"Danni Wyatt","England","Danielle Nicole Wyatt","April 22, 1991, Stoke-on-Trent, Staffordshire","30y 213d","Right hand bat","Right arm offbreak","Top order batter",NA
"17","S Molineux","99e23670","S Molineux",8119,NA,NA,944373,NA,NA,1232589,NA,NA,NA,4043,NA,"Sophie Molineux","Australia","Sophie Molineux","January 17, 1998","23y 308d","Left hand bat","Slow left arm orthodox","Bowler",NA
"18","M Strano","f57d5dbb","M Strano",7065,NA,NA,382231,NA,NA,401242,NA,NA,NA,4034,NA,"Molly Strano","Australia","Molly Strano","October 05, 1992","29y 47d","Right hand bat","Right arm offbreak","Bowler",NA
"19","LMM Tahuhu","60471339","LMM Tahuhu",5993,NA,NA,380929,NA,NA,394707,NA,NA,NA,1005,NA,"Lea Tahuhu","New Zealand","Lea-Marie Maureen Tahuhu","September 23, 1990, Christchurch, Canterbury","31y 59d","Right hand bat","Right arm medium fast","Bowler",NA
"20","G Wareham","f0b4e47d","G Wareham",8244,NA,NA,946057,NA,NA,1381142,NA,NA,NA,4041,NA,"Georgia Wareham","Australia","Georgia Wareham","May 26, 1999, Terang, Victoria","22y 179d","Right hand bat","Legbreak","Bowler",NA
"21","NM Goodwin","4241dc19","NM Goodwin",NA,NA,NA,53673,NA,NA,NA,NA,NA,NA,NA,NA,"Nicole Goodwin","Australia","Nicole Maree Goodwin","September 14, 1984, Newcastle, New South Wales","37y 68d","Right hand bat","Left arm medium",NA,NA
"22","NA Plane","29ed56ec","NA Plane",NA,NA,NA,947817,NA,NA,NA,NA,NA,NA,NA,NA,"Natalie Plane","Australia","Natalie Anne Plane",NA,NA,NA,NA,NA,NA
"23","M Brown","78bec461","M Brown",10766,NA,NA,1061621,NA,NA,1232564,NA,NA,NA,NA,NA,"Maitlan Brown","Australia","Maitlan Joy Brown","June 05, 1997","24y 169d","Right hand bat","Right arm medium","Bowler",NA
"24","SW Bates","89bbc67a","SW Bates",5854,NA,NA,54565,NA,NA,45878,NA,NA,NA,474,NA,"Suzie Bates","New Zealand","Suzannah Wilson Bates","September 16, 1987, Dunedin, Otago","34y 66d","Right hand bat","Right arm medium","Allrounder",NA
"25","EJ Villani","cde96d97","EJ Villani",5982,NA,NA,275442,NA,NA,250207,NA,NA,NA,998,NA,"Elyse Villani","Australia","Elyse Jane Villani","October 06, 1989, Melbourne, Victoria","32y 46d","Right hand bat","Right arm fast medium","Middle order batter",NA
"26","KH Brunt","6a434bd3","KH Brunt",5496,NA,NA,53906,NA,NA,67090,NA,NA,NA,547,NA,"Katherine Brunt","England","Katherine Helen Brunt","July 02, 1985, Barnsley","36y 142d","Right hand bat","Right arm medium fast","Bowling allrounder",NA
"27","NE Bolton","dd883071","NE Bolton",7054,NA,NA,267611,NA,NA,94002,NA,NA,NA,1758,NA,"Nicole Bolton","Australia","Nicole Elizabeth Bolton","January 17, 1989, Subiaco, Perth, Western Australia","32y 308d","Left hand bat","Right arm offbreak","Opening batter",NA
